etablissement;annee;ville;academie;departement;taux_brut_de_reussite_total_series;taux_reussite_attendu_france_total_series
LYCEE CATHERINE ET RAYMOND JANOT;2012;SENS;DIJON;YONNE;78;89
LYCEE SAINTE-MARIE;2012;BELFORT;BESANCON;TERRITOIRE DE BELFORT;94;93
LYCEE GEOFFROY-SAINT-HILAIRE (GENERAL ET TECHNO.);2012;ETAMPES;VERSAILLES;ESSONNE;86;89
LYCEE MARCEL PAGNOL;2012;ATHIS MONS;VERSAILLES;ESSONNE;84;85
LYCEE BLAISE PASCAL;2012;ORSAY;VERSAILLES;ESSONNE;98;98
LYCEE FUSTEL DE COULANGES;2012;MASSY;VERSAILLES;ESSONNE;91;93
LYCEE JACQUES PREVERT;2012;LONGJUMEAU;VERSAILLES;ESSONNE;89;91
LYCEE MARGUERITE YOURCENAR (GENERAL ET TECHNO.);2012;MORANGIS;VERSAILLES;ESSONNE;77;87
LYCEE NOTRE DAME DE SION (GENERAL ET TECHNO.);2012;EVRY;VERSAILLES;ESSONNE;97;96
LYCEE GASPARD MONGE;2012;SAVIGNY SUR ORGE;VERSAILLES;ESSONNE;80;80
LYCEE ALBERT CAMUS;2012;BOIS COLOMBES;VERSAILLES;HAUTS DE SEINE;92;93
LYCEE NEWTON-ENREA (GENERAL ET TECHNO.);2012;CLICHY;VERSAILLES;HAUTS DE SEINE;79;85
LYCEE GUY DE MAUPASSANT;2012;COLOMBES;VERSAILLES;HAUTS DE SEINE;73;75
LYCEE JOLIOT-CURIE;2012;NANTERRE;VERSAILLES;HAUTS DE SEINE;66;70
LYCEE L AGORA;2012;PUTEAUX;VERSAILLES;HAUTS DE SEINE;63;78
LYCEE RICHELIEU;2012;RUEIL MALMAISON;VERSAILLES;HAUTS DE SEINE;96;97
LYCEE ALEXANDRE DUMAS;2012;ST CLOUD;VERSAILLES;HAUTS DE SEINE;94;96
LYCEE JEAN-PIERRE VERNANT;2012;SEVRES;VERSAILLES;HAUTS DE SEINE;92;96
LYCEE SAINTE GENEVIEVE;2012;ASNIERES SUR SEINE;VERSAILLES;HAUTS DE SEINE;99;99
LYCEE SOPHIE BARAT;2012;CHATENAY MALABRY;VERSAILLES;HAUTS DE SEINE;96;95
LYCEE SAINT THOMAS DE VILLENEUVE;2012;CHAVILLE;VERSAILLES;HAUTS DE SEINE;100;98
LYCEE JEAN JAURES;2012;CHATENAY MALABRY;VERSAILLES;HAUTS DE SEINE;72;79
LYCEE MARCELIN BERTHELOT;2012;PANTIN;CRETEIL;SEINE SAINT-DENIS;74;69
LYCEE PAUL ELUARD;2012;ST DENIS;CRETEIL;SEINE SAINT-DENIS;81;76
LYCEE ASSOMPTION (GENERAL ET TECHNO.);2012;BONDY;CRETEIL;SEINE SAINT-DENIS;91;94
LYCEE ESPERANCE;2012;AULNAY SOUS BOIS;CRETEIL;SEINE SAINT-DENIS;99;98
PROTECTORAT SAINT JOSEPH (GENERAL ET TECHNO.);2012;AULNAY SOUS BOIS;CRETEIL;SEINE SAINT-DENIS;85;91
LYCEE ORT;2012;MONTREUIL;CRETEIL;SEINE SAINT-DENIS;80;
LYCEE MAURICE UTRILLO;2012;STAINS;CRETEIL;SEINE SAINT-DENIS;77;70
LYCEE LEONARD DE VINCI;2012;TREMBLAY EN FRANCE;CRETEIL;SEINE SAINT-DENIS;80;75
LYCEE PAUL ROBERT (GENERAL ET TECHNO.);2012;LES LILAS;CRETEIL;SEINE SAINT-DENIS;86;88
LYCEE BLAISE PASCAL (GENERAL ET TECHNO.);2012;VILLEMOMBLE;CRETEIL;SEINE SAINT-DENIS;58;66
LYCEE RENE CASSIN (GENERAL ET TECHNO.);2012;LE RAINCY;CRETEIL;SEINE SAINT-DENIS;83;82
LYCEE GUSTAVE EIFFEL (GENERAL ET TECHNO.);2012;CACHAN;CRETEIL;VAL-DE-MARNE;88;92
LYCEE LOUISE MICHEL;2012;CHAMPIGNY SUR MARNE CEDE;CRETEIL;VAL-DE-MARNE;82;87
LYCEE CONDORCET (GENERAL ET TECHNO.);2012;VARENNE ST HILAIRE;CRETEIL;VAL-DE-MARNE;90;93
LYCEE GUILLAUME BUDE (GENERAL ET TECHNO.);2012;LIMEIL BREVANNES;CRETEIL;VAL-DE-MARNE;82;87
LYCEE SAMUEL DE CHAMPLAIN;2012;CHENNEVIERES SUR MARNE;CRETEIL;VAL-DE-MARNE;77;90
LYCEE JOHANNES GUTENBERG (GENERAL ET TECHNO.);2012;CRETEIL;CRETEIL;VAL-DE-MARNE;71;77
LYCEE MARX DORMOY;2012;CHAMPIGNY SUR MARNE CEDE;CRETEIL;VAL-DE-MARNE;78;81
LYCEE ROMAIN ROLLAND;2012;GOUSSAINVILLE;VERSAILLES;VAL D'OISE;82;72
LYCEE NOTRE DAME DE LA PROVIDENCE;2012;ENGHIEN LES BAINS;VERSAILLES;VAL D'OISE;100;96
LYCEE SAINT MARTIN DE FRANCE;2012;PONTOISE;VERSAILLES;VAL D'OISE;94;93
LYCEE JULES VERNE (GENERAL ET TECHNO.);2012;CERGY;VERSAILLES;VAL D'OISE;89;89
LYCEE LOUIS JOUVET (GENERAL ET TECHNO.);2012;TAVERNY;VERSAILLES;VAL D'OISE;84;86
LYCEE FERNAND ET NADIA LEGER;2012;ARGENTEUIL;VERSAILLES;VAL D'OISE;77;76
LYCEE DE L HAUTIL (GENERAL ET TECHNO.);2012;JOUY LE MOUTIER;VERSAILLES;VAL D'OISE;83;82
LYCEE LAETITIA BONAPARTE;2012;AJACCIO;CORSE;CORSE DU SUD;94;88
LYCEE JEAN PAUL DE ROCCA SERRA (GENERAL ET TECHNO.);2012;PORTO VECCHIO;CORSE;CORSE DU SUD;93;85
LYCEE GERVILLE REACHE;2012;BASSE TERRE;GUADELOUPE;GUADELOUPE;82;85
LYCEE FAUSTIN FLERET;2012;MORNE A L EAU;GUADELOUPE;GUADELOUPE;85;78
LYCEE PROVIDENCE;2012;LES ABYMES;GUADELOUPE;GUADELOUPE;70;69
LYCEE NORD BASSE TERRE;2012;STE ROSE;GUADELOUPE;GUADELOUPE;92;87
LYCEE ILES DU NORD (GENERAL ET TECHNO.);2012;ST MARTIN;GUADELOUPE;GUADELOUPE;83;72
LYCEE POINTE NOIRE (GENERAL ET TECHNO.);2012;POINTE NOIRE;GUADELOUPE;GUADELOUPE;77;81
LYCEE JOSEPH PERNOCK (GENERAL ET TECHNO.);2012;LE LORRAIN;MARTINIQUE;MARTINIQUE;81;76
LYCEE LA JETEE (GENERAL ET TECHNO.);2012;LE FRANCOIS;MARTINIQUE;MARTINIQUE;85;78
LYCEE DU NORD CARAIBE (GENERAL ET TECHNO.);2012;BELLEFONTAINE;MARTINIQUE;MARTINIQUE;88;84
LYCEE FELIX EBOUE;2012;CAYENNE;GUYANE;GUYANE;75;73
LYCEE BERTENE JUMINER (GENERAL ET TECHNO.);2012;ST LAURENT DU MARONI CED;GUYANE;GUYANE;60;59
LYCEE ROLAND GARROS (GENERAL ET TECHNO.);2012;LE TAMPON;LA REUNION;REUNION;88;89
LYCEE LISLET GEOFFROY;2012;STE CLOTILDE;LA REUNION;REUNION;78;83
LYCEE AMIRAL PIERRE BOUVET;2012;ST BENOIT;LA REUNION;REUNION;74;83
LYCEE BELLEPIERRE;2012;ST DENIS;LA REUNION;REUNION;86;90
LYCEE LOUIS PAYEN;2012;ST PAUL;LA REUNION;REUNION;93;94
LYCEE LA POSSESSION (GENERAL ET TECHNO.);2012;LA POSSESSION;LA REUNION;REUNION;87;91
LYCEE JEAN JOLY (GENERAL ET TECHNO.);2012;ST LOUIS;LA REUNION;REUNION;84;85
LYCEE DE TROIS BASSINS (GENERAL ET TECHNO.);2012;LES TROIS BASSINS;LA REUNION;REUNION;79;85
LYCEE CATHOLIQUE LEVAVASSEUR;2012;STE CLOTILDE;LA REUNION;REUNION;100;98
LYCEE LALANDE;2020;BOURG EN BRESSE;LYON;AIN;97;
LYCEE XAVIER BICHAT (GENERAL ET TECHNO.);2020;NANTUA;LYON;AIN;98;
LYCEE SAINT PIERRE;2020;BOURG EN BRESSE;LYON;AIN;99;
LYCEE JEANNE D'ARC;2020;CESSY;LYON;AIN;100;
LYCEE DE LA COTIERE;2020;LA BOISSE;LYON;AIN;98;
LYCEE FREDERIC ET IRENE JOLIOT CURIE;2020;HIRSON;AMIENS;AISNE;94;
LYCEE PAUL CLAUDEL;2020;LAON;AMIENS;AISNE;93;
LYCEE SAINT CHARLES;2020;CHAUNY;AMIENS;AISNE;100;
LYCEE ALBERT LONDRES;2020;CUSSET;CLERMONT-FERRAND;ALLIER;96;
LYCEE VALERY LARBAUD (GENERAL ET TECHNO.);2020;CUSSET;CLERMONT-FERRAND;ALLIER;96;
LYCEE HONORE ROMANE;2020;EMBRUN;AIX-MARSEILLE;HAUTES ALPES;97;
LYCEE AUGUSTE RENOIR;2020;CAGNES SUR MER;NICE;ALPES MARITIMES;95;
LYCEE SASSERNO;2020;NICE;NICE;ALPES MARITIMES;100;
LYCEE STANISLAS;2020;NICE;NICE;ALPES MARITIMES;100;
LYCEE DE LA MONTAGNE (GENERAL ET TECHNO.);2020;VALDEBLORE;NICE;ALPES MARITIMES;99;
LYCEE SIMONE VEIL;2020;VALBONNE;NICE;ALPES MARITIMES;100;
LYCEE RENE GOSCINNY;2020;DRAP;NICE;ALPES MARITIMES;99;
LYCEE BOISSY D'ANGLAS (GENERAL ET TECHNO.);2020;ANNONAY;GRENOBLE;ARDECHE;98;
LYCEE ASTIER (GENERAL ET TECHNO.);2020;AUBENAS;GRENOBLE;ARDECHE;93;
LYCEE VINCENT D 'INDY (GENERAL ET TECHNO.);2020;PRIVAS;GRENOBLE;ARDECHE;96;
LYCEE JULES FROMENT;2020;AUBENAS;GRENOBLE;ARDECHE;99;
LYCEE VAUBAN;2020;GIVET;REIMS;ARDENNES;87;
LYCEE THOMAS MASARYK;2020;VOUZIERS;REIMS;ARDENNES;98;
LYCEE GABRIEL FAURE;2020;FOIX;TOULOUSE;ARIEGE;98;
LYCEE MIREPOIX (GENERAL ET TECHNO.);2020;MIREPOIX;TOULOUSE;ARIEGE;98;
LYCEE GASTON BACHELARD (GENERAL ET TECHNO.);2020;BAR SUR AUBE;REIMS;AUBE;97;
LYCEE MARIE DE CHAMPAGNE (GENERAL ET TECHNO.);2020;TROYES;REIMS;AUBE;94;
LYCEE ST FRANCOIS DE SALES;2020;TROYES;REIMS;AUBE;100;
LYCEE PAUL SABATIER;2020;CARCASSONNE;MONTPELLIER;AUDE;95;
LYCEE ERNEST FERROUL (GENERAL ET TECHNO.);2020;LEZIGNAN CORBIERES;MONTPELLIER;AUDE;98;
LYCEE SAINT-GABRIEL;2020;ST AFFRIQUE;TOULOUSE;AVEYRON;100;
LYCEE PERIER;2020;MARSEILLE 08;AIX-MARSEILLE;BOUCHES DU RHONE;95;
LYCEE VICTOR HUGO;2020;MARSEILLE 03;AIX-MARSEILLE;BOUCHES DU RHONE;92;
LYCEE PAUL LANGEVIN (GENERAL ET TECHNO.);2020;MARTIGUES;AIX-MARSEILLE;BOUCHES DU RHONE;99;
LYCEE PROVENCE (DE);2020;MARSEILLE 08;AIX-MARSEILLE;BOUCHES DU RHONE;100;
LYCEE ST JOSEPH LES MARISTES;2020;MARSEILLE 06;AIX-MARSEILLE;BOUCHES DU RHONE;100;
LYCEE STE TRINITE;2020;MARSEILLE 09;AIX-MARSEILLE;BOUCHES DU RHONE;100;
LYCEE SEVIGNE;2020;MARSEILLE 13;AIX-MARSEILLE;BOUCHES DU RHONE;100;
LYCEE ST ELOI (GENERAL ET TECHNO.);2020;AIX EN PROVENCE;AIX-MARSEILLE;BOUCHES DU RHONE;100;
LYCEE AUGUSTE ET LOUIS LUMIERE (GENERAL ET TECHNO.);2020;LA CIOTAT;AIX-MARSEILLE;BOUCHES DU RHONE;98;
LYCEE ANTONIN ARTAUD (GENERAL ET TECHNO.);2020;MARSEILLE 13;AIX-MARSEILLE;BOUCHES DU RHONE;98;
LYCEE JEAN COCTEAU;2020;MIRAMAS;AIX-MARSEILLE;BOUCHES DU RHONE;98;
LYCEE BELSUNCE;2020;MARSEILLE 02;AIX-MARSEILLE;BOUCHES DU RHONE;100;
LYCEE ST LOUIS - STE MARIE;2020;GIGNAC LA NERTHE;AIX-MARSEILLE;BOUCHES DU RHONE;100;
LYCEE DON BOSCO (GENERAL ET TECHNO.);2020;MARSEILLE 06;AIX-MARSEILLE;BOUCHES DU RHONE;98;
LYCEE REGIONAL NELSON MANDELA (GENERAL ET TECHNO.);2020;MARSEILLE 12;AIX-MARSEILLE;BOUCHES DU RHONE;99;
LYCEE BNEI ELAZAR;2020;MARSEILLE 09;AIX-MARSEILLE;BOUCHES DU RHONE;100;
LYCEE JEANNE D'ARC;2020;CAEN;NORMANDIE;CALVADOS;100;
LYCEE JULES DUMONT D'URVILLE (GENERAL ET TECHNO.);2020;CAEN;NORMANDIE;CALVADOS;96;
LYCEE DE HAUTE AUVERGNE (GENERAL ET TECHNO.);2020;ST FLOUR;CLERMONT-FERRAND;CANTAL;99;
LYCEE DE LA COMMUNICATION ST GERAUD (GENERAL ET TECHNO.);2020;AURILLAC;CLERMONT-FERRAND;CANTAL;100;
LYCEE MARGUERITE DE VALOIS;2020;ANGOULEME;POITIERS;CHARENTE;95;
LYCEE SAINT PAUL;2020;ANGOULEME;POITIERS;CHARENTE;100;
LYCEE LEONCE VIELJEUX;2020;LA ROCHELLE;POITIERS;CHARENTE MARITIME;97;
LYCEE DU PAYS D'AUNIS (GENERAL ET TECHNO.);2020;SURGERES;POITIERS;CHARENTE MARITIME;100;
LYCEE JEAN HYPPOLITE (GENERAL ET TECHNO.);2020;JONZAC;POITIERS;CHARENTE MARITIME;98;
LYCEE MARGUERITE DE NAVARRE;2020;BOURGES;ORLEANS-TOURS;CHER;98;
LYCEE JACQUES COEUR;2020;BOURGES;ORLEANS-TOURS;CHER;99;
LYCEE EDOUARD VAILLANT (GENERAL ET TECHNO.);2020;VIERZON;ORLEANS-TOURS;CHER;94;
LYCEE D ARSONVAL;2020;BRIVE LA GAILLARDE;LIMOGES;CORREZE;98;
LYCEE BOSSUET;2020;BRIVE LA GAILLARDE;LIMOGES;CORREZE;98;
CLOS MAIRE (GENERAL ET TECHNO.);2020;BEAUNE;DIJON;COTE D'OR;97;
LYCEE CARNOT;2020;DIJON;DIJON;COTE D'OR;99;
LYCEE ANNA JUDIC (GENERAL ET TECHNO.);2020;SEMUR EN AUXOIS;DIJON;COTE D'OR;94;
LYCEE AUGUSTE PAVIE;2020;GUINGAMP;RENNES;COTES D'ARMOR;96;
LYCEE CHAPTAL (GENERAL ET TECHNO.);2020;ST BRIEUC;RENNES;COTES D'ARMOR;100;
LYCEE ST JOSEPH;2020;LAMBALLE;RENNES;COTES D'ARMOR;100;
LYCEE ST PIERRE;2020;ST BRIEUC;RENNES;COTES D'ARMOR;99;
LYCEE PIERRE BOURDAN;2020;GUERET;LIMOGES;CREUSE;94;
LYCEE ALBERT CLAVEILLE (GENERAL ET TECHNO.);2020;PERIGUEUX;BORDEAUX;DORDOGNE;99;
LYCEE ARMAND PEUGEOT;2020;VALENTIGNEY;BESANCON;DOUBS;97;
LYCEE NOTRE DAME DE LA GALAURE;2020;CHATEAUNEUF DE GALAURE;GRENOBLE;DROME;100;
LYCEE AUGUSTIN FRESNEL;2020;BERNAY;NORMANDIE;EURE;99;
LYCEE PORTE DE NORMANDIE;2020;VERNEUIL D AVRE ET D ITON;NORMANDIE;EURE;97;
LYCEE SAINT OUEN;2020;PONT AUDEMER;NORMANDIE;EURE;97;
LYCEE DES ROCHES;2020;VERNEUIL SUR AVRE;NORMANDIE;EURE;100;
LYCEE JEAN MOULIN (GENERAL ET TECHNO.);2020;LES ANDELYS;NORMANDIE;EURE;97;
LYCEE ST PIERRE ST PAUL;2020;DREUX;ORLEANS-TOURS;EURE ET LOIR;100;
LYCEE LA PEROUSE-KERICHEN;2020;BREST;RENNES;FINISTERE;100;
LYCEE AMIRAL RONARC'H;2020;BREST;RENNES;FINISTERE;99;
LYCEE VAUBAN (GENERAL ET TECHNO.);2020;BREST;RENNES;FINISTERE;99;
LYCEE JEAN MOULIN;2020;CHATEAULIN;RENNES;FINISTERE;99;
LYCEE PIERRE GUEGUIN (GENERAL ET TECHNO.);2020;CONCARNEAU;RENNES;FINISTERE;99;
LYCEE AUGUSTE BRIZEUX;2020;QUIMPER;RENNES;FINISTERE;100;
LYCEE DUPUY DE LOME (GENERAL ET TECHNO.);2020;BREST;RENNES;FINISTERE;100;
LYCEE NOTRE DAME DU MUR;2020;MORLAIX;RENNES;FINISTERE;99;
LYCEE ND DU KREISKER;2020;ST POL DE LEON;RENNES;FINISTERE;98;
LYCEE LE PARACLET;2020;QUIMPER;RENNES;FINISTERE;100;
LYCEE DIWAN;2020;CARHAIX PLOUGUER;RENNES;FINISTERE;100;
LYCEE ALBERT CAMUS;2020;NIMES;MONTPELLIER;GARD;97;
LYCEE BELLEVUE;2020;ALES;MONTPELLIER;GARD;99;
LYCEE DE LA SALLE (GENERAL ET TECHNO.);2020;ALES;MONTPELLIER;GARD;100;
LYCEE ST VINCENT DE PAUL;2020;NIMES;MONTPELLIER;GARD;100;
LYCEE PHILIPPE LAMOUR;2020;NIMES;MONTPELLIER;GARD;94;
LYCEE PIERRE DE FERMAT;2020;TOULOUSE;TOULOUSE;HAUTE GARONNE;99;
LYCEE LE FERRADOU;2020;BLAGNAC;TOULOUSE;HAUTE GARONNE;100;
LYCEE STEPHANE HESSEL;2020;TOULOUSE;TOULOUSE;HAUTE GARONNE;98;
LYCEE INTERNATIONAL VICTOR HUGO;2020;COLOMIERS;TOULOUSE;HAUTE GARONNE;98;
LYCEE HENRI MATISSE;2020;CUGNAUX;TOULOUSE;HAUTE GARONNE;99;
LYCEE JEAN-PIERRE VERNANT (GENERAL ET TECHNO.);2020;PINS JUSTARET;TOULOUSE;HAUTE GARONNE;99;
LYCEE PARDAILHAN;2020;AUCH;TOULOUSE;GERS;98;
LYCEE BOSSUET;2020;CONDOM;TOULOUSE;GERS;97;
LYCEE ALAIN-FOURNIER (GENERAL ET TECHNO.);2020;MIRANDE;TOULOUSE;GERS;100;
LYCEE D'ARTAGNAN (GENERAL ET TECHNO.);2020;NOGARO;TOULOUSE;GERS;99;
LYCEE JOSEPH SAVERNE;2020;L ISLE JOURDAIN;TOULOUSE;GERS;98;
LYCEE LE GARROS (GENERAL ET TECHNO.);2020;AUCH;TOULOUSE;GERS;97;
LYCEE ANATOLE DE MONZIE;2020;BAZAS;BORDEAUX;GIRONDE;96;
LYCEE MONTESQUIEU;2020;BORDEAUX;BORDEAUX;GIRONDE;97;
LYCEE JEAN MONNET (GENERAL ET TECHNO.);2020;LIBOURNE;BORDEAUX;GIRONDE;97;
LYCEE RECLUS;2020;STE FOY LA GRANDE;BORDEAUX;GIRONDE;99;
LYCEE ALBERT LE GRAND;2020;BORDEAUX;BORDEAUX;GIRONDE;100;
LYCEE ST GENES LA SALLE;2020;BORDEAUX;BORDEAUX;GIRONDE;100;
LYCEE NOTRE DAME;2020;BORDEAUX;BORDEAUX;GIRONDE;98;
LYCEE STE MARIE BASTIDE;2020;BORDEAUX;BORDEAUX;GIRONDE;99;
LYCEE STE FAMILLE SAINTONGE;2020;BORDEAUX;BORDEAUX;GIRONDE;100;
LYCEE BEL ORME;2020;BORDEAUX;BORDEAUX;GIRONDE;99;
LYCEE HOTEL.TOURISME GASCOGNE (GENERAL ET TECHNO.);2020;TALENCE;BORDEAUX;GIRONDE;99;
LYCEE JEAN MONNET;2020;BLANQUEFORT;BORDEAUX;GIRONDE;99;
LYCEE DES GRAVES;2020;GRADIGNAN;BORDEAUX;GIRONDE;100;
LYCEE SAINT JEAN;2020;PAUILLAC;BORDEAUX;GIRONDE;100;
LYCEE FERDINAND FABRE;2020;BEDARIEUX;MONTPELLIER;HERAULT;98;
LYCEE NEVERS (GENERAL ET TECHNO.);2020;MONTPELLIER;MONTPELLIER;HERAULT;100;
LYCEE ST JOSEPH PIERRE ROUGE (GENERAL ET TECHNO.);2020;MONTFERRIER SUR LEZ;MONTPELLIER;HERAULT;100;
LYCEE JEAN JAURES (GENERAL ET TECHNO.);2020;ST CLEMENT DE RIVIERE;MONTPELLIER;HERAULT;98;
LYCEE VICTOR HUGO (GENERAL ET TECHNO.);2020;LUNEL;MONTPELLIER;HERAULT;99;
LYCEE MARC BLOCH (GENERAL ET TECHNO.);2020;SERIGNAN;MONTPELLIER;HERAULT;95;
LYCEE YVON BOURGES (GENERAL ET TECHNO.);2020;DINARD;RENNES;ILLE ET VILAINE;100;
LYCEE BEAUMONT;2020;REDON;RENNES;ILLE ET VILAINE;100;
LYCEE JACQUES CARTIER (GENERAL ET TECHNO.);2020;ST MALO;RENNES;ILLE ET VILAINE;97;
LYCEE ST MARTIN;2020;RENNES;RENNES;ILLE ET VILAINE;100;
LYCEE ASSOMPTION;2020;RENNES;RENNES;ILLE ET VILAINE;99;
LYCEE LES RIMAINS;2020;ST MALO;RENNES;ILLE ET VILAINE;100;
LYCEE FREDERIC OZANAM (GENERAL ET TECHNO.);2020;CESSON SEVIGNE;RENNES;ILLE ET VILAINE;99;
LYCEE RENE CASSIN;2020;MONTFORT SUR MEU;RENNES;ILLE ET VILAINE;99;
LYCEE GRAND ST GREGOIRE;2020;TOURS;ORLEANS-TOURS;INDRE ET LOIRE;100;
LYCEE NOTRE DAME LA RICHE;2020;TOURS;ORLEANS-TOURS;INDRE ET LOIRE;99;
LYCEE SAINT GATIEN;2020;JOUE LES TOURS;ORLEANS-TOURS;INDRE ET LOIRE;100;
LYCEE MARMOUTIER;2020;TOURS;ORLEANS-TOURS;INDRE ET LOIRE;99;
LYCEE JEAN MONNET;2020;JOUE LES TOURS;ORLEANS-TOURS;INDRE ET LOIRE;98;
LYCEE CHAMPOLLION;2020;GRENOBLE;GRENOBLE;ISERE;99;
LYCEE LESDIGUIERES (GENERAL ET TECHNO.);2020;GRENOBLE;GRENOBLE;ISERE;100;
LYCEE DE L'EDIT (GENERAL ET TECHNO.);2020;ROUSSILLON;GRENOBLE;ISERE;92;
LYCEE SAINTE CECILE;2020;LA COTE ST ANDRE;GRENOBLE;ISERE;100;
EXTERNAT NOTRE DAME;2020;GRENOBLE;GRENOBLE;ISERE;100;
LYCEE PABLO NERUDA (GENERAL ET TECHNO.);2020;ST MARTIN D HERES;GRENOBLE;ISERE;98;
LYCEE LEONARD DE VINCI (GENERAL ET TECHNO.);2020;VILLEFONTAINE;GRENOBLE;ISERE;90;
LYCEE CHARLES NODIER;2020;DOLE;BESANCON;JURA;98;
LYCEE AUGUSTIN THIERRY (GENERAL ET TECHNO.);2020;BLOIS;ORLEANS-TOURS;LOIR ET CHER;91;
LYCEE NOTRE DAME DES AYDES;2020;BLOIS;ORLEANS-TOURS;LOIR ET CHER;100;
LYCEE LA PROVIDENCE;2020;BLOIS;ORLEANS-TOURS;LOIR ET CHER;97;
LYCEE JEREMIE DE LA RUE (GENERAL ET TECHNO.);2020;CHARLIEU;LYON;LOIRE;99;
LYCEE GEORGES BRASSENS (GENERAL ET TECHNO.);2020;RIVE DE GIER;LYON;LOIRE;98;
LYCEE SIMONE WEIL;2020;ST PRIEST EN JAREZ;LYON;LOIRE;100;
LYCEE ETIENNE MIMARD;2020;ST ETIENNE;LYON;LOIRE;94;
ENSEMBLE SCOLAIRE LA SALLE;2020;ST ETIENNE;LYON;LOIRE;98;
LYCEE NOTRE DAME;2020;CHARLIEU;LYON;LOIRE;98;
LYCEE L'ASTREE;2020;BOEN SUR LIGNON;LYON;LOIRE;100;
LYCEE LA SALESIENNE;2020;ST ETIENNE;LYON;LOIRE;96;
LYCEE SAINT PIERRE;2020;MONTROND LES BAINS;LYON;LOIRE;100;
LYCEE SAINT-GABRIEL;2020;YSSINGEAUX;CLERMONT-FERRAND;HAUTE LOIRE;97;
LYCEE EMMANUEL CHABRIER (GENERAL ET TECHNO.);2020;YSSINGEAUX;CLERMONT-FERRAND;HAUTE LOIRE;100;
LYCEE ST-JACQUES DE COMPOSTELLE;2020;LE PUY EN VELAY;CLERMONT-FERRAND;HAUTE LOIRE;96;
LYCEE GUY MOQUET - ETIENNE LENOIR (GENERAL ET TECHNO.);2020;CHATEAUBRIANT;NANTES;LOIRE ATLANTIQUE;99;
LYCEE JULES VERNE;2020;NANTES;NANTES;LOIRE ATLANTIQUE;100;
LYCEE JACQUES PREVERT;2020;SAVENAY;NANTES;LOIRE ATLANTIQUE;99;
LYCEE LA PERVERIE SACRE COEUR;2020;NANTES;NANTES;LOIRE ATLANTIQUE;99;
LYCEE ST PIERRE LA JOLIVERIE;2020;ST SEBASTIEN SUR LOIRE CED;NANTES;LOIRE ATLANTIQUE;100;
LYCEE LA HERDRIE;2020;BASSE GOULAINE;NANTES;LOIRE ATLANTIQUE;100;
LYCEE TALENSAC - JEANNE BERNARD (GENERAL ET TECHNO.);2020;NANTES;NANTES;LOIRE ATLANTIQUE;100;
LYCEE DURZY;2020;VILLEMANDEUR;ORLEANS-TOURS;LOIRET;99;
LYCEE SAINT CHARLES;2020;ORLEANS;ORLEANS-TOURS;LOIRET;99;
LYCEE STE CROIX ST EUVERTE;2020;ORLEANS;ORLEANS-TOURS;LOIRET;99;
LYCEE SAINT PAUL-BOURDON BLANC;2020;ORLEANS;ORLEANS-TOURS;LOIRET;98;
LYCEE MARGUERITE FILHOL;2020;FUMEL;BORDEAUX;LOT ET GARONNE;98;
LYCEE SAINT PIERRE-SAINT PAUL (GENERAL ET TECHNO.);2020;LANGOGNE;MONTPELLIER;LOZERE;100;
LYCEE NOTRE-DAME (GENERAL ET TECHNO.);2020;MENDE;MONTPELLIER;LOZERE;99;
LYCEE DAVID D ANGERS;2020;ANGERS;NANTES;MAINE ET LOIRE;100;
LYCEE ST BENOIT SITE UNIVERSITE;2020;ANGERS;NANTES;MAINE ET LOIRE;99;
LYCEE ND DE BONNES NOUVELLES;2020;BEAUPREAU;NANTES;MAINE ET LOIRE;100;
LYCEE ND D'ORVEAU;2020;SEGRE EN ANJOU BLEU;NANTES;MAINE ET LOIRE;100;
LYCEE ROBERT DE MORTAIN (GENERAL ET TECHNO.);2020;MORTAIN BOCAGE;NORMANDIE;MANCHE;97;
LYCEE LE BON SAUVEUR;2020;ST LO;NORMANDIE;MANCHE;100;
LYCEE VICTOR GRIGNARD;2020;CHERBOURG EN COTENTIN;NORMANDIE;MANCHE;94;
LYCEE GEORGES CLEMENCEAU;2020;REIMS;REIMS;MARNE;97;
LYCEE JEAN JAURES;2020;REIMS;REIMS;MARNE;98;
LYCEE ST JEAN-BAPTISTE DE LA SALLE (GENERAL ET TECHNO.);2020;REIMS;REIMS;MARNE;98;
LYCEE FRANCOIS ARAGO (GENERAL ET TECHNO.);2020;REIMS;REIMS;MARNE;98;
LYCEE COLBERT;2020;REIMS;REIMS;MARNE;91;
LYCEE MARC CHAGALL;2020;REIMS;REIMS;MARNE;98;
LYCEE ESTIC;2020;ST DIZIER;REIMS;HAUTE MARNE;100;
LYCEE CHARLES DE GAULLE (GENERAL ET TECHNO.);2020;CHAUMONT;REIMS;HAUTE MARNE;100;
LYCEE DOUANIER ROUSSEAU;2020;LAVAL;NANTES;MAYENNE;97;
LYCEE LAVOISIER;2020;MAYENNE;NANTES;MAYENNE;100;
LYCEE D'AVESNIERES;2020;LAVAL;NANTES;MAYENNE;100;
LYCEE ERNEST BICHAT;2020;LUNEVILLE;NANCY-METZ;MEURTHE ET MOSELLE;96;
LYCEE JEANNE D'ARC;2020;NANCY;NANCY-METZ;MEURTHE ET MOSELLE;97;
LYCEE GEORGES DE LA TOUR;2020;NANCY;NANCY-METZ;MEURTHE ET MOSELLE;98;
